"rules","support","confidence","coverage","lift","count"
"{marital=married,contact=cellular,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0105613285422939,0.667177914110429,0.0158298533553462,5.92235429447853,435
"{marital=married,contact=cellular,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0105613285422939,0.667177914110429,0.0158298533553462,5.92235429447853,435
"{marital=married,contact=cellular,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0105613285422939,0.667177914110429,0.0158298533553462,5.92235429447853,435
"{housing=yes,contact=cellular,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0112896960279693,0.667144906743185,0.0169224045838594,5.92206129718498,465
"{housing=yes,contact=cellular,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0112896960279693,0.667144906743185,0.0169224045838594,5.92206129718498,465
"{housing=yes,contact=cellular,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0112896960279693,0.667144906743185,0.0169224045838594,5.92206129718498,465
"{contact=cellular,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,poutcome=success,emp.var.rate=[-3.4,-0.1),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,previous=[0,7],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,pdays=[0,999],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,poutcome=success,euribor3m=[0.634,4.02),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,previous=[0,7],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,pdays=[0,999],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,previous=[0,7],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{contact=cellular,pdays=[0,999],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0200301058560746,0.666397415185784,0.0300572982422065,5.91542602083449,825
"{poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{poutcome=success,emp.var.rate=[-3.4,-0.1),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{previous=[0,7],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{poutcome=success,euribor3m=[0.634,4.02),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{previous=[0,7],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{previous=[0,7],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{previous=[0,7],poutcome=success,emp.var.rate=[-3.4,-0.1),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],poutcome=success,emp.var.rate=[-3.4,-0.1),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{previous=[0,7],poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],previous=[0,7],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{previous=[0,7],poutcome=success,euribor3m=[0.634,4.02),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],poutcome=success,euribor3m=[0.634,4.02),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],previous=[0,7],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{pdays=[0,999],previous=[0,7],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0216325143245606,0.665919282511211,0.0324851898611246,5.91118176898098,891
"{marital=married,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,poutcome=success,emp.var.rate=[-3.4,-0.1),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,previous=[0,7],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,pdays=[0,999],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,poutcome=success,euribor3m=[0.634,4.02),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,previous=[0,7],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,pdays=[0,999],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,previous=[0,7],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{marital=married,pdays=[0,999],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0113625327765369,0.665718349928876,0.0170680780809945,5.90939814587727,468
"{housing=yes,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,poutcome=success,emp.var.rate=[-3.4,-0.1),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
